Iso Code,Name,AirportsPerMillion,AirPortsPerMillionCategory,Latitude,Longitude
ZWE,Zimbabwe,11.70954381,4,-19.098,30.047
ZMB,Zambia,4.254111212,2,-15.13,25.268
YEM,Yemen,1.647093656,2,15.569,47.793
WLF,Wallis and Futuna,173.882803,9,-13.2859,-176.2086
VNM,Vietnam,0.454569983,1,21.75,105.373
VEN,Venezuela,15.33398772,5,6.983,-64.588
VUT,Vanuatu,92.31383129,8,-15.339,166.89
UZB,Uzbekistan,1.502597694,2,41.757,63.958
URY,Uruguay,38.85357985,7,-32.948,-56.249
USA,United States,39.7002568,7,40.0792,-98.8164
GBR,United Kingdom,6.786284471,3,52.289,-1.259
ARE,United Arab Emirates,4.510869622,2,23.9299,53.9031
UKR,Ukraine,5.807063058,3,49.364,32.132
UGA,Uganda,0.961965186,1,1.9392,32.7415
TUV,Tuvalu,87.75008775,8,-7.4786,178.6758
TCA,Turks and Caicos Islands,173.6789545,9,21.7779,-71.7592
TKM,Turkmenistan,3.979756509,2,39.584,59.597
TUR,Turkey,1.140735335,2,39.144,34.188
TUN,Tunisia,2.323520971,2,35.594,9.421
TTO,Trinidad and Tobago,2.604863671,2,10.4435,-61.2604
TON,Tonga,55.67257105,8,-21.167,-175.19
TGO,Togo,0.879487364,1,7.7,1.106
THA,Thailand,1.406276829,2,15.688,100.845
TZA,Tanzania,2.446792399,2,-5.651,34.146
TJK,Tajikistan,2.356941044,2,38.367,72.597
TWN,Taiwan,1.546231399,2,23.6091,120.8353
SYR,Syria,3.836114211,2,35.303,38.322
CHE,Switzerland,7.152253192,3,46.7794,8.0329
SWE,Sweden,21.74090023,6,66.2188,19
SUR,Suriname,88.0646747,8,4.248,-55.848
SDN,Sudan,1.385268697,2,15.739,29.533
LKA,Sri Lanka,0.821718082,1,7.3,80.727
ESP,Spain,2.841477506,2,40.617,-3.388
SSD,South Sudan,7.998822286,3,7.1,30.48
KOR,South Korea,2.143840909,2,36.338,128.16
ZAF,South Africa,6.724231041,3,-31.7,23.441
SOM,Somalia,2.848034155,2,2.875,43.446
SLB,Solomon Islands,48.40752683,8,-9.5987,160.1487
SVN,Slovenia,7.548326984,3,46.037,14.534
SVK,Slovakia,6.062004258,3,48.8595,19.4434
MAF,Sint Maarten,22.61317896,6,18.034,-63.0544
SGP,Singapore,1.494383112,2,1.3389,103.8297
SLE,Sierra Leone,0.906044745,1,8.677,-11.779
SYC,Seychelles,130.0390117,9,-4.6841,55.4924
SRB,Serbia,3.643483462,2,44.021,20.699
SEN,Senegal,1.120001747,2,15.044,-15.081
SAU,Saudi Arabia,5.774842455,3,24.191,44.32
STP,Sao Tome and Principe,8.60185456,3,0.216,6.595
WSM,Samoa,17.67307463,5,-13.6221,-172.439
VCT,Saint Vincent and the Grenadines,57.86032518,8,13.2528,-61.1949
MAF,Saint Martin,31.17498519,7,18.0848,-63.0507
LCA,Saint Lucia,11.09563886,4,13.909,-60.9776
KNA,Saint Kitts and Nevis,41.88043137,8,17.147,-62.58
FSM,"Saint Helena, Ascension, and Tristan da Cunha",17.35749497,5,-40.289,-10.033
RWA,Rwanda,0.494330035,1,-1.887,29.904
RUS,Russia,8.43833489,3,64.736,104.062
ROU,Romania,2.269791447,2,45.933,25.119
COG,Republic Of The Congo,4.401032515,2,0.509,16.08
QAT,Qatar,2.205105702,2,25.3174,51.1522
PRI,Puerto Rico,8.889512858,3,18.242,-66.643
PRT,Portugal,6.24854465,3,40.957,-7.9373
POL,Poland,3.085250692,2,52.442,19.72
PHL,Philippines,2.098495245,2,17.181,121.256
PER,Peru,5.548901877,3,-12.664,-72.98
PRY,Paraguay,116.1482395,9,-23.266,-58.409
PNG,Papua New Guinea,54.10657839,8,-5.636,142.798
PAN,Panama,26.11325609,6,8.348,-81.005
PAK,Pakistan,0.625359636,1,28.1854,66.6429
OMN,Oman,28.3338535,6,19.85,56.25
NOR,Norway,17.32678053,5,61.3701,9.3031
MNP,Northern Mariana Islands,100.4096715,9,15.1905,145.7471
MKD,North Macedonia,4.797603501,2,41.636,21.676
PRK,North Korea,3.132270951,2,39.767,126.389
NIU,Niue,516.7958656,10,-19.033,-169.86
NGA,Nigeria,0.240105929,1,9.3417,7.678
NER,Niger,1.094400148,2,16.996,9.915
NIC,Nicaragua,20.80227144,6,12.692,-85.03
NZL,New Zealand,23.48860383,6,-42.558,172.377
NCL,New Caledonia,85.13739473,8,-21.02,165.062
NLD,Netherlands,1.644980249,2,52.1704,5.0102
NPL,Nepal,1.517678092,2,28.2114,83.5608
NRU,Nauru,78.24726135,8,-0.5287,166.9315
NAM,Namibia,42.87900349,8,-21.276,17.219
MOZ,Mozambique,2.87437309,2,-13.852,38.042
MAR,Morocco,1.635092805,2,31.129,-7.355
MNE,Montenegro,7.981037056,3,42.857,19.096
MNG,Mongolia,12.72800485,4,46.516,102.564
MDA,Moldova,2.052493398,2,47.524,28.444
MEX,Mexico,13.32290229,4,22.925,-101.68
MUS,Mauritius,3.844506623,2,-20.2529,57.5902
MRT,Mauritania,6.135296792,3,19.413,-10.6528
MHL,Marshall Islands,357.176874,9,5.961,169.651
MLT,Malta,1.866660693,2,35.9024,14.4137
MLI,Mali,1.066530287,2,18.211,-2.209
MDV,Maldives,17.29541921,5,4.221,73.463
MYS,Malaysia,3.315475523,2,4.416,102.099
MWI,Malawi,1.520766976,2,-13.2731,33.7428
MDG,Madagascar,2.723472931,2,-19.615,46.645
MAC,Macau,1.416217962,2,22.1404,113.5643
LUX,Luxembourg,3.048441256,2,49.671,6.113
LTU,Lithuania,22.48324077,6,55.342,24.23
LBY,Libya,21.14701711,6,27.24,17.571
LBR,Liberia,5.328416981,3,6.51,-9.33
LSO,Lesotho,10.27600493,4,-29.446,28.371
LBN,Lebanon,1.502468744,2,34.161,36.021
LVA,Latvia,22.99736735,6,57.017,25.0173
LAO,Laos,5.355759597,3,19.595,102.538
KGZ,Kyrgyzstan,4.143925641,2,41.741,75.043
KWT,Kuwait,1.620899414,2,29.3169,47.4272
KIR,Kiribati,141.614555,9,2.048,-158.59
KEN,Kenya,3.560691563,2,0.806,38.166
KAZ,Kazakhstan,4.885409912,2,48.866,69.772
JOR,Jordan,1.586436182,2,30.681,36.279
JPN,Japan,1.420937191,2,35.962,137.855
JAM,Jamaica,9.90959617,3,18.163,-77.477
ITA,Italy,2.192552697,2,44.3713,11.1084
ISR,Israel,4.563939984,2,30.992,34.834
IMN,Isle of Man,11.8049817,4,54.2362,-4.5149
IRL,Ireland,7.89871946,3,53.214,-7.588
IRQ,Iraq,2.231232415,2,33.545,43.278
IRN,Iran,3.571889454,2,33.408,54.0418
IDN,Indonesia,2.420789754,2,-0.739,114.045
IND,India,0.241728572,1,22.741,78.236
ISL,Iceland,255.3395218,9,64.826,-18.417
HUN,Hungary,4.051763753,2,47.174,19.618
HKG,Hong Kong,0.266918852,1,22.4114,114.0599
HND,Honduras,9.691037493,3,14.881,-87.123
HTI,Haiti,1.191071422,2,19.3175,-72.4205
GUY,Guyana,143.5338022,9,5.17,-58.939
GIN,Guinea,1.122037654,2,10.599,-10.907
GTM,Guatemala,16.03816444,5,15.124,-90.711
GUM,Guam,28.90975531,6,13.45,144.7579
GRD,Grenada,23.77499346,6,12.111,-61.6867
GRL,Greenland,264.8164822,9,71,-39
GRC,Greece,7.451530215,3,39.787,21.617
GIB,Gibraltar,30.59226628,7,36.134,-5.3482
GHA,Ghana,0.291916357,1,7.258,-1.062
DEU,Germany,6.471613438,3,51.3819,9.9877
GEO,Georgia,5.906008558,3,42.05,43.576
GMB,Gambia,0.358741563,1,13.499,-14.641
GAB,Gabon,17.98595706,5,-0.406,11.914
PYF,French Polynesia,174.4614311,9,-17.529,-149.53
FRA,France,7.162408003,3,46.656,2.543
FIN,Finland,26.68528867,6,62.716,26.192
FJI,Fiji,29.86093337,6,-17.7941,177.9783
FRO,Faroe Islands,18.7722921,5,62.1252,-7.0174
ETH,Ethiopia,0.448167037,1,8.435,38.786
EST,Estonia,13.61457001,4,58.777,25.977
ERI,Eritrea,3.455055836,2,15.982,38.02
GNQ,Equatorial Guinea,4.062320641,2,1.6342,10.4695
SLV,El Salvador,10.67258137,4,13.848,-89.229
EGY,Egypt,0.734018987,1,26.16,28.742
ECU,Ecuador,23.69768209,6,-1.151,-78.308
COD,Dr Congo,1.923303475,2,-1.418,23.607
DOM,Dominican Republic,3.170730633,2,19.01,-70.1685
DMA,Dominica,27.3822563,6,15.4238,-61.3411
DJI,Djibouti,11.40634035,4,11.41,42.165
DNK,Denmark,13.52085634,4,56.113,9.096
CYP,Cyprus,11.88500073,4,34.894,32.928
CUW,Curacao,5.206245412,3,12.2129,-69.0407
CUB,Cuba,11.88504499,4,20.571,-76.456
HRV,Croatia,17.23255204,5,45.754,16.385
CRI,Costa Rica,30.84675295,7,10.126,-84.075
COK,Cook Islands,645.3884065,10,-21.202,-159.82
COM,Comoros,4.676519313,2,-11.6527,43.3307
COL,Colombia,16.03456623,5,3.794,-73.606
CHN,China,0.355640323,1,35.1753,99.3877
CHL,Chile,24.49649517,6,-23.176,-69.201
TCD,Chad,3.2074451,2,15.981,18.781
CAF,Central African Republic,6.751032648,3,7.043,21.424
CYM,Cayman Islands,43.28379743,8,19.3299,-81.1715
CAN,Canada,37.7614488,7,59.2067,-111.1937
CMR,Cameroon,1.145808786,2,4.4,12.131
KHM,Cambodia,0.942173234,1,12.69,104.444
BDI,Burundi,0.525881641,1,-3.333,29.749
BFA,Burkina Faso,0.984075645,1,12.673,-1.226
BGR,Bulgaria,10.19474818,4,42.625,24.521
BRN,Brunei,2.20664819,2,4.452,114.557
BRA,Brazil,18.88970653,5,-11.694,-48.978
BWA,Botswana,27.56579844,6,-22.126,23.662
BIH,Bosnia and Herzegovina,7.483788244,3,44.342,17.804
BOL,Bolivia,68.80866844,8,-16.71,-65.183
BTN,Bhutan,3.803587798,2,27.5342,90.3002
BMU,Bermuda,15.60817244,5,32.3019,-64.7737
BEN,Benin,0.43516546,1,10.478,2.274
BLZ,Belize,114.0416859,9,17.108,-88.744
BEL,Belgium,3.506667629,2,50.6745,4.4588
BLR,Belarus,6.849961809,3,53.3292,27.9492
BRB,Barbados,3.546162166,2,13.1898,-59.559
BGD,Bangladesh,0.103855503,1,24.598,90.1963
BHR,Bahrain,2.687957079,2,26.025,50.5534
BHS,Bahamas,130.6636017,9,24.7032,-78.0455
AZE,Azerbaijan,2.206501062,2,40.46,47.883
AUT,Austria,5.578567145,3,47.65,14.705
AUS,Australia,15.77759539,5,-24.578,133.582
ABW,Aruba,9.409373618,3,12.5176,-69.9818
ARM,Armenia,2.519825628,2,40.56,44.449
ARG,Argentina,19.98548827,5,-33.166,-64.31
ATG,Antigua and Barbuda,31.81403635,7,17.625,-61.786
AIA,Anguilla,62.89703755,8,18.2177,-63.0406
AGO,Angola,2.763189612,2,-12.836,17.808
ASM,American Samoa,68.31534363,8,-14.3018,-170.7511
DZA,Algeria,3.256922293,2,28.6045,2.64
ALB,Albania,1.059890153,2,40.654,20.076
AFG,Afghanistan,1.083046703,2,34.023,65.5267