Iso Code,id,Tier,Airports Per Million
GUY,328,9,143.5338022
SYC,690,9,130.0390117
EST,233,4,13.61457001
BFA,854,1,0.984075645
BLR,112,3,6.849961809
IMN,833,4,11.8049817
MNE,499,3,7.981037056
PRT,620,3,6.24854465
LUX,442,2,3.048441256
MAR,504,2,1.635092805
MKD,807,2,4.797603501
UKR,804,3,5.807063058
GHA,288,1,0.291916357
MOZ,508,2,2.87437309
MHL,584,9,357.176874
UGA,800,1,0.961965186
SSD,728,3,7.998822286
NLD,528,2,1.644980249
TUV,798,8,87.75008775
ESP,724,2,2.841477506
CMR,120,2,1.145808786
SDN,729,2,1.385268697
TUN,788,2,2.323520971
FRA,250,3,7.162408003
GAB,266,5,17.98595706
GIB,292,7,30.59226628
KHM,116,1,0.942173234
KGZ,417,2,4.143925641
NRU,520,8,78.24726135
KIR,296,9,141.614555
LBY,434,6,21.14701711
NZL,554,6,23.48860383
QAT,634,2,2.205105702
BGD,50,1,0.103855503
GRD,308,6,23.77499346
PNG,598,8,54.10657839
POL,616,2,3.085250692
GRL,304,9,264.8164822
SUR,740,8,88.0646747
KOR,410,2,2.143840909
LKA,144,1,0.821718082
MYS,458,2,3.315475523
IRL,372,3,7.89871946
YEM,887,2,1.647093656
PER,604,3,5.548901877
LAO,418,3,5.355759597
TCA,796,9,173.6789545
AFG,4,2,1.083046703
VNM,704,1,0.454569983
BWA,72,6,27.56579844
MDV,462,5,17.29541921
NPL,524,2,1.517678092
CYM,136,8,43.28379743
DMA,212,6,27.3822563
ISR,376,2,4.563939984
PRI,630,3,8.889512858
TJK,762,2,2.356941044
COL,170,5,16.03456623
BEN,204,1,0.43516546
NIC,558,6,20.80227144
MRT,478,3,6.135296792
CHN,156,1,0.355640323
GUM,316,6,28.90975531
LCA,662,4,11.09563886
COG,178,2,4.401032515
RUS,643,3,8.43833489
HND,340,3,9.691037493
AUT,40,3,5.578567145
HKG,344,1,0.266918852
WLF,876,9,173.882803
NIU,570,10,516.7958656
TKM,795,2,3.979756509
MUS,480,2,3.844506623
CHE,756,3,7.152253192
DZA,12,2,3.256922293
MNP,580,9,100.4096715
TCD,148,2,3.2074451
BTN,64,2,3.803587798
DJI,262,4,11.40634035
AUS,36,5,15.77759539
KWT,414,2,1.620899414
IRQ,368,2,2.231232415
DNK,208,4,13.52085634
LSO,426,4,10.27600493
NER,562,2,1.094400148
MLI,466,2,1.066530287
UZB,860,2,1.502597694
USA,840,7,39.7002568
AZE,31,2,2.206501062
MLT,470,2,1.866660693
PAK,586,1,0.625359636
MAF,663,7,31.17498519
MAF,663,6,22.61317896
CUW,531,3,5.206245412
BRN,96,2,2.20664819
NAM,516,8,42.87900349
TZA,834,2,2.446792399
SVN,705,3,7.548326984
SLV,222,4,10.67258137
ETH,231,1,0.448167037
TWN,158,2,1.546231399
BOL,68,8,68.80866844
URY,858,7,38.85357985
GRC,300,3,7.451530215
TTO,780,2,2.604863671
BHR,48,2,2.687957079
AGO,24,2,2.763189612
ATG,28,7,31.81403635
CAF,140,3,6.751032648
TON,776,8,55.67257105
CYP,196,4,11.88500073
GEO,268,3,5.906008558
CAN,124,7,37.7614488
SYR,760,2,3.836114211
KEN,404,2,3.560691563
BHS,44,9,130.6636017
BMU,60,5,15.60817244
HRV,191,5,17.23255204
BIH,70,3,7.483788244
VEN,862,5,15.33398772
SRB,688,2,3.643483462
ZMB,894,2,4.254111212
BLZ,84,9,114.0416859
WSM,882,5,17.67307463
COD,180,2,1.923303475
JPN,392,2,1.420937191
ITA,380,2,2.192552697
SAU,682,3,5.774842455
PRK,408,2,3.132270951
SVK,703,3,6.062004258
SEN,686,2,1.120001747
LVA,428,6,22.99736735
PRY,600,9,116.1482395
PHL,608,2,2.098495245
ARG,32,5,19.98548827
IRN,364,2,3.571889454
ERI,232,2,3.455055836
BRA,76,5,18.88970653
ARM,51,2,2.519825628
CRI,188,7,30.84675295
KNA,659,8,41.88043137
VCT,670,8,57.86032518
DEU,276,3,6.471613438
SOM,706,2,2.848034155
GMB,270,1,0.358741563
EGY,818,1,0.734018987
SLB,90,8,48.40752683
ABW,533,3,9.409373618
OMN,512,6,28.3338535
FJI,242,6,29.86093337
MAC,446,2,1.416217962
ALB,8,2,1.059890153
GNQ,226,2,4.062320641
BGR,100,4,10.19474818
GIN,324,2,1.122037654
BDI,108,1,0.525881641
ATA,10,11,
NOR,578,5,17.32678053
ARE,784,2,4.510869622
HUN,348,2,4.051763753
ECU,218,6,23.69768209
VUT,548,8,92.31383129
LBR,430,3,5.328416981
FIN,246,6,26.68528867
COM,174,2,4.676519313
NGA,566,1,0.240105929
TUR,792,2,1.140735335
COK,184,10,645.3884065
MEX,484,4,13.32290229
FRO,234,5,18.7722921
FSM,583,5,17.35749497
RWA,646,1,0.494330035
ASM,16,8,68.31534363
GTM,320,5,16.03816444
GBR,826,3,6.786284471
BEL,56,2,3.506667629
BRB,52,2,3.546162166
SLE,694,1,0.906044745
LBN,422,2,1.502468744
ISL,352,9,255.3395218
NCL,540,8,85.13739473
LTU,440,6,22.48324077
MDA,498,2,2.052493398
MWI,454,2,1.520766976
IDN,360,2,2.420789754
MNG,496,4,12.72800485
HTI,332,2,1.191071422
CUB,192,4,11.88504499
SWE,752,6,21.74090023
STP,678,3,8.60185456
ZWE,716,4,11.70954381
TGO,768,1,0.879487364
DOM,214,2,3.170730633
SGP,702,2,1.494383112
ROU,642,2,2.269791447
JAM,388,3,9.90959617
PYF,258,9,174.4614311
KAZ,398,2,4.885409912
JOR,400,2,1.586436182
PAN,591,6,26.11325609
THA,764,2,1.406276829
AIA,660,8,62.89703755
CHL,152,6,24.49649517
MDG,450,2,2.723472931
ZAF,710,3,6.724231041
IND,356,1,0.241728572