Number,Region,Volcano Name,Latitude (volcano!db),Longitude (volcano!db)
0601-14=,Sumatra,Marapi,-0.381,100.473
0601-13=,Sumatra,Talakmau,0.079,99.98
0601-12=,Sumatra,Sorikmarapi,0.686,99.539
0601-11=,Sumatra,Sibualbuali,1.556,99.255
0601-09=,Sumatra,Toba,2.58,98.83
0601-08=,Sumatra,Sinabung,3.17,98.392
0601-07=,Sumatra,Sibayak,3.2,98.52
0601-05=,Sumatra,"Telong, Bur Ni",4.77,96.808
0601-03=,Sumatra,Peuet Sague,4.914,96.329
0601-02=,Sumatra,Seulawah Agam,5.448,95.658
0600-001,Andaman Is-Indian O,Narcondum,13.43,94.25
0600-01=,Andaman Is-Indian O,Barren Island,12.292,93.875
0509-01-,Australia,Newer Volcanics Prov,-37.77,142.5
0508-001,SW Pacific,Eastern Gemini Seamount,-20.98,170.28
0508-03-,SW Pacific,Unnamed,-25.78,168.63
0508-02=,SW Pacific,Hunter Island,-22.4,172.05
0508-01=,SW Pacific,Matthew Island,-22.33,171.32
0507-081,Vanuatu-SW Pacific,North Vate,-17.45,168.33
0507-021,Vanuatu-SW Pacific,Mere Lava,-14.45,168.05
0507-001,Vanuatu-SW Pacific,Motlav,-13.67,167.67
0507-11-,Vanuatu-SW Pacific,Aneityum,-20.2,169.83
0507-10=,Vanuatu-SW Pacific,Yasur,-19.52,169.425
0507-09=,Vanuatu-SW Pacific,Traitor's Head,-18.75,169.23
0507-08-,Vanuatu-SW Pacific,Unnamed,-16.992,168.592
0507-07=,Vanuatu-SW Pacific,Kuwae,-16.829,168.536
0507-06=,Vanuatu-SW Pacific,Epi,-16.68,168.37
0507-05=,Vanuatu-SW Pacific,Lopevi,-16.507,168.346
0507-04=,Vanuatu-SW Pacific,Ambrym,-16.25,168.12
0507-03=,Vanuatu-SW Pacific,Aoba,-15.4,167.83
0507-02=,Vanuatu-SW Pacific,Gaua,-14.27,167.5
0507-01=,Vanuatu-SW Pacific,Suretamatai,-13.8,167.47
0506-01=,Santa Cruz Is-SW Pac,Tinakula,-10.38,165.8
0505-062,Solomon Is-SW Pacifi,Gallego,-9.35,159.73
0505-061,Solomon Is-SW Pacifi,Unnamed,-8.92,158.03
0505-053,Solomon Is-SW Pacifi,Coleman Seamount,-8.83,157.17
0505-052,Solomon Is-SW Pacifi,Kana Keoki,-8.75,157.03
0505-021,Bougainville-SW Paci,Takuan Group,-6.442,155.608
0505-011,Bougainville-SW Paci,Billy Mitchell,-6.092,155.225
0505-07=,Solomon Is-SW Pacifi,Savo,-9.13,159.82
0505-06=,Solomon Is-SW Pacifi,Kavachi,-9.02,157.95
0505-05=,Solomon Is-SW Pacifi,Simbo,-8.292,156.52
0505-03=,Bougainville-SW Paci,Loloru,-6.52,155.62
0505-02=,Bougainville-SW Paci,Bagana,-6.14,155.195
0505-01=,Bougainville-SW Paci,Balbi,-5.83,154.98
0505-00-,Bougainville-SW Paci,Tore,-5.83,154.93
0504-02=,New Ireland-SW Pacif,Ambitle,-4.08,153.65
0504-01=,New Ireland-SW Pacif,Lihir,-3.125,152.642
0503-041,D'Entrecasteaux Is,Goodenough,-9.48,150.35
0503-031,New Guinea,Sessagara,-9.48,149.13
0503-021,New Guinea,Managlase Plateau,-9.08,148.33
0503-011,New Guinea,Hydrographers Range,-9,148.37
0503-004,New Guinea,Madilogo,-9.2,147.57
0503-003,New Guinea,Koranga,-7.33,146.708
0503-002,New Guinea,Yelia,-7.05,145.858
0503-001,New Guinea,Crater Mountain,-6.58,145.08
0503-06=,D'Entrecasteaux Is,Dawson Strait Group,-9.62,150.88
0503-05=,D'Entrecasteaux Is,Iamalele,-9.52,150.53
0503-04=,New Guinea,Waiowa,-9.57,149.075
0503-03=,New Guinea,Victory,-9.2,149.07
0503-02=,New Guinea,Musa River,-9.308,148.13
0503-01=,New Guinea,Lamington,-8.95,148.15
0503-00-,New Guinea,Doma Peaks,-5.9,143.15
0502-131,New Britain-SW Pac,Unnamed,-4.75,150.85
0502-071,New Britain-SW Pac,Lolo,-5.47,150.5
0502-021,New Britain-SW Pac,Mundua,-4.63,149.35
0502-001,New Britain-SW Pac,Unnamed,-5.2,148.57
0502-15-,New Britain-SW Pac,Tavui,-4.117,152.2
0502-14=,New Britain-SW Pac,Rabaul,-4.271,152.203
0502-13=,New Britain-SW Pac,Lolobau,-4.92,151.158
0502-12=,New Britain-SW Pac,Ulawun,-5.05,151.33
0502-11=,New Britain-SW Pac,Bamus,-5.2,151.23
0502-10=,New Britain-SW Pac,Hargy,-5.33,151.1
0502-09=,New Britain-SW Pac,Walo,-5.53,150.9
0502-08=,New Britain-SW Pac,Pago,-5.58,150.52
0502-07=,New Britain-SW Pac,Garbuna Group,-5.45,150.03
0502-06=,New Britain-SW Pac,Garua Harbour,-5.269,150.088
0502-05=,New Britain-SW Pac,Bola,-5.15,150.03
0502-04=,New Britain-SW Pac,Dakataua,-5.056,150.108
0502-03=,New Britain-SW Pac,Garove,-4.692,149.5
0502-01=,New Britain-SW Pac,Langila,-5.525,148.42
0501-041,New Guinea-NE of,Yomba,-4.92,146.75
0501-011,New Guinea-NE of,Boisa,-3.994,144.963
0501-002,New Guinea-NE of,Kadovar,-3.62,144.62
0501-001,New Guinea-NE of,Blup Blup,-3.508,144.62
0501-08=,New Guinea-NE of,Sakar,-5.414,148.094
0501-07=,New Guinea-NE of,Ritter Island,-5.52,148.121
0501-06=,New Guinea-NE of,Umboi,-5.589,147.875
0501-05=,New Guinea-NE of,Long Island,-5.358,147.12
0501-04=,New Guinea-NE of,Unnamed,-4.311,146.256
0501-03=,New Guinea-NE of,Karkar,-4.649,145.964
0501-02=,New Guinea-NE of,Manam,-4.1,145.061
0501-01=,New Guinea-NE of,Bam,-3.6,144.85
0500-03-,Admiralty Is-SW Paci,Unnamed,-3.03,147.78
0500-02-,Admiralty Is-SW Paci,Baluan,-2.57,147.28
0500-01=,Admiralty Is-SW Paci,St. Andrew Strait,-2.38,147.35
0405-03-,Fiji Is-SW Pacific,Nabukelevu,-19.117,177.983
0405-02-,Fiji Is-SW Pacific,Koro,-17.32,179.4
0405-01-,Fiji Is-SW Pacific,Taveuni,-16.82,-179.97
0404-001,Samoa-SW Pacific,Ta'u,-14.23,-169.454
0404-05-,SW Pacific,Wallis Islands,-13.3,-176.17
0404-04=,Samoa-SW Pacific,Savai'i,-13.612,-172.525
0404-03-,Samoa-SW Pacific,Upolu,-13.935,-171.72
0404-02-,Samoa-SW Pacific,Tutuila,-14.295,-170.7
0404-01=,Samoa-SW Pacific,Ofu-Olosega,-14.175,-169.618
0404-00-,Samoa-SW Pacific,Unnamed,-14.23,-169.07
0403-102,Tonga-SW Pacific,Curacoa,-15.617,-173.667
0403-101,Tonga-SW Pacific,Curacoa,-15.62,-173.67
0403-091,Tonga-SW Pacific,Unnamed,-18.325,-174.365
0403-061,Tonga-SW Pacific,Kao,-19.667,-175.033
0403-011,Tonga-SW Pacific,Unnamed,-21.15,-175.75
0403-001,Tonga-SW Pacific,Unnamed,-24.8,-177.017
0403-13-,Tonga-SW Pacific,West Mata,-15.1,-173.75
0403-12-,Tonga-SW Pacific,Tafu-Maka,-15.367,-174.233
0403-11=,Tonga-SW Pacific,Niuafo'ou,-15.6,-175.63
0403-10=,Tonga-SW Pacific,Fonualei,-18.02,-174.325
0403-09=,Tonga-SW Pacific,Late,-18.806,-174.65
0403-08=,Tonga-SW Pacific,Home Reef,-18.992,-174.775
0403-07=,Tonga-SW Pacific,Metis Shoal,-19.18,-174.87
0403-06=,Tonga-SW Pacific,Tofua,-19.75,-175.07
0403-05=,Tonga-SW Pacific,Falcon Island,-20.32,-175.42
0403-04=,Tonga-SW Pacific,Hunga Tonga-Hunga Ha'apai,-20.57,-175.38
0403-03=,Tonga-SW Pacific,Unnamed,-20.85,-175.53
0403-02=,Tonga-SW Pacific,Unnamed,-21.07,-175.33
0403-01=,Tonga-SW Pacific,Unnamed,-21.38,-175.65
0402-022,Kermadec Is,Giggenbach,-30.036,-178.713
0402-021,Kermadec Is,Macauley Island,-30.2,-178.47
0402-001,Kermadec Is,Volcano W,-31.85,-179.183
0402-05-,Kermadec Is,Monowai Seamount,-25.887,-177.188
0402-04=,Kermadec Is,Unnamed,-29.18,-177.87
0402-03=,Kermadec Is,Raoul Island,-29.27,-177.92
0402-02=,Kermadec Is,Brimstone Island,-30.23,-178.92
0402-01=,Kermadec Is,Curtis Island,-30.542,-178.561
0401-131,New Zealand,Rumble II West,-35.353,178.527
0401-102,New Zealand,Tangaroa,-36.321,178.028
0401-101,New Zealand,Clark,-36.446,177.839
0401-061,New Zealand,Maroa,-38.42,176.08
0401-021,New Zealand,Mayor Island,-37.28,176.25
0401-011,New Zealand,Whangarei,-35.75,174.27
0401-15-,New Zealand,Brothers,-34.875,179.075
0401-14-,New Zealand,Healy,-35.004,178.973
0401-13-,New Zealand,Rumble III,-35.745,178.478
0401-12-,New Zealand,Rumble IV,-36.13,178.05
0401-11-,New Zealand,Rumble V,-36.139,178.197
0401-10=,New Zealand,Ruapehu,-39.28,175.57
0401-09=,New Zealand,Ngauruhoe,-39.158,175.63
0401-08=,New Zealand,Tongariro,-39.13,175.642
0401-07=,New Zealand,Taupo,-38.82,176
0401-06-,New Zealand,Reporoa,-38.42,176.33
0401-05=,New Zealand,Okataina,-38.12,176.5
0401-04=,New Zealand,White Island,-37.52,177.18
0401-03=,New Zealand,Egmont,-39.3,174.07
0401-02=,New Zealand,Auckland Field,-36.9,174.87
0401-01=,New Zealand,Kaikohe-Bay of Islands,-35.3,173.9
0305-01=,Indian O-E,Unnamed,11.75,80.75
0304-011,Indian O-S,McDonald Islands,-53.03,72.6
0304-002,Indian O-S,St. Paul,-38.72,77.53
0304-001,Indian O-S,Amsterdam Island,-37.83,77.52
0304-07-,Indian O-S,Marion Island,-46.9,37.75
0304-06-,Indian O-S,Prince Edward Island,-46.63,37.95
0304-05-,Indian O-S,"Cochons, Ile Aux",-46.1,50.23
0304-04-,Indian O-S,"Possession, Ile de la",-46.42,51.63
0304-03-,Indian O-S,"Est, Ile de l'",-46.43,52.2
0304-02=,Indian O-S,Kerguelen Islands,-49.58,69.5
0304-01=,Indian O-S,Heard,-53.106,73.513
0304-00-,Indian O.-S,Boomerang Seamount,-37.721,77.825
0303-015,Madagascar,Ankaratra Field,-19.4,47.2
0303-014,Madagascar,Itasy Volc Field,-19,46.77
0303-013,Madagascar,Ankaizina Field,-14.3,48.67
0303-012,Madagascar,Nosy-Be,-13.32,48.48
0303-011,Madagascar,Ambre-Bobaomby,-12.48,49.1
0303-001,Indian O-W,"Grille, La",-11.47,43.33
0303-02=,Indian O-W,"Fournaise, Piton de la",-21.229,55.713
0303-01=,Indian O-W,Karthala,-11.75,43.38
0302-002,Iran,Sabalan,38.25,47.917
0302-001,Iran,Sahand,37.75,46.433
0302-14-,Arabia-S,Ormus Islands,26,57
0302-07-,Afghanistan,Vakak Group,34.25,67.97
0302-06-,Afghanistan,Dacht-I-Navar Group,33.95,67.92
0302-05-,Iran,Taftan,28.6,61.6
0302-04-,Iran,Unnamed,28.17,60.67
0302-03-,Iran,Bazman,28.07,60
0302-02-,Iran,Qal'eh Hasan Ali,29.4,57.57
0302-01-,Iran,Damavand,35.951,52.109
0302-00-,Iran,Unnamed,39.25,45.167
0301-072,Arabia-W,"Birk, Harrat al",18.367,41.633
0301-071,Arabia-W,"Kishb, Harrat",22.8,41.38
0301-001,Arabia-W,"Harrah, Al",31.083,38.417
0301-18-,Arabia-S,Bir Borhut,15.55,50.63
0301-17-,Arabia-S,"Bal Haf, Harra of",14.05,48.33
0301-16-,Arabia-S,"Sawad, Harra Es-",13.58,46.12
0301-15-,Arabia-S,Unnamed,12.25,45
0301-12-,Arabia-S,"Dhamar, Harras of",14.57,44.67
0301-11-,Arabia-S,"Haylan, Jabal",15.43,44.78
0301-10-,Arabia-S,"Marha, Jabal el-",15.28,44.22
0301-09-,Arabia-S,"Arhab, Harra of",15.63,44.08
0301-08-,Arabia-W,"Yar, Jabal",17.05,42.83
0301-07=,Arabia-W,"Rahat, Harrat",23.08,39.78
0301-06=,Arabia-W,"Khaybar, Harrat",25,39.92
0301-05=,Arabia-W,"Ithnayn, Harrat",26.58,40.2
0301-04-,Arabia-W,"Lunayyir, Harrat",25.17,37.75
0301-02=,Arabia-W,"Uwayrid, Harrat",27.08,37.25
0301-01=,Arabia-W,"Rahah, Harrat ar",27.8,36.17
0300-06-,Syria,Unnamed,32.658,36.425
0300-05-,Syria,Es Safa,33.08,37.15
0300-04-,Syria,Unnamed,33.15,36.258
0300-03-,Syria,Unnamed,33.308,36.925
0300-02-,Syria,Unnamed,36.67,37
0300-01-,Syria,Sharat Kovakab,36.53,40.85
0205-021,Africa-N,"Koussi, Emi",19.8,18.53
0205-009,Africa-N,"Toh, Tarso",21.333,16.333
0205-008,Africa-N,Wau-en-Namus,25.05,17.55
0205-007,Africa-N,Haruj,27.25,17.5
0205-006,Africa-N,Manzaz Volc Field,23.917,5.833
0205-005,Africa-N,Atakor Volc Field,23.333,5.833
0205-004,Africa-N,Tahalra Volc Field,22.667,5
0205-003,Africa-N,In Ezzane Volc Field,23,10.833
0205-002,Africa-N,Tin Zaouatene Volc Field,19.833,2.833
0205-001,Africa-N,Todra Volc Field,17.683,8.5
0205-07-,Africa-N,"Umm Arafieb, Jebel",18.17,33.83
0205-06-,Africa-N,Bayuda Volc Field,18.33,32.75
0205-05-,Africa-N,Meidob Volc Field,15.32,26.47
0205-04-,Africa-N,Kutum Volc Field,14.5,25.8
0205-03-,Africa-N,"Marra, Jebel",12.95,24.27
0205-02=,Africa-N,"Voon, Tarso",20.92,17.28
0205-01=,Africa-N,"Tousside, Tarso",21.03,16.45
0204-011,Africa-W,Tombel Graben,4.75,9.667
0204-004,Africa-W,Santa Isabel,3.58,8.75
0204-003,Africa-W,San Joaquin,3.35,8.63
0204-002,Africa-W,San Carlos,3.35,8.52
0204-001,Africa-W,Sao Tome,0.32,6.72
0204-05-,Africa-W,Biu Plateau,10.75,12
0204-04-,Africa-W,Ngaoundere Plateau,7.25,13.67
0204-03-,Africa-W,Oku Volc Field,6.25,10.5
0204-02-,Africa-W,Manengouba,5.03,9.83
0204-01=,Africa-W,"Cameroon, Mt.",4.203,9.17
0203-005,Africa-C,Katunga,-0.47,30.18
0203-004,Africa-C,Bunyaruguru Field,-0.2,30.08
0203-003,Africa-C,Katwe-Kikorongo Field,-0.08,29.92
0203-002,Africa-C,Kyatwa Volc Field,0.45,30.25
0203-001,Africa-C,Fort Portal Field,0.7,30.25
0203-08-,Africa-C,Tshibinda,-2.32,28.75
0203-07-,Africa-C,Bufumbira,-1.23,29.72
0203-06-,Africa-C,Muhavura,-1.38,29.67
0203-05-,Africa-C,Visoke,-1.47,29.492
0203-04-,Africa-C,Karisimbi,-1.5,29.45
0203-03=,Africa-C,Nyiragongo,-1.52,29.25
0203-02=,Africa-C,Nyamuragira,-1.408,29.2
0203-01=,Africa-C,May-ya-moto,-0.93,29.33
0202-166,Africa-E,Rungwe,-9.13,33.67
0202-165,Africa-E,Izumbwe-Mpoli,-8.93,33.4
0202-164,Africa-E,Ngozi,-8.97,33.57
0202-163,Africa-E,SW Usangu Basin,-8.75,33.8
0202-162,Africa-E,Unnamed,-8.63,33.57
0202-161,Africa-E,Igwisi Hills,-4.87,31.92
0202-071,Africa-E,Elmenteita Badlands,-0.52,36.27
0202-056,Africa-E,Nyambeni Hills,0.23,37.87
0202-055,Africa-E,Ol Kokwe,0.63,36.08
0202-054,Africa-E,Korosi,0.77,36.12
0202-053,Africa-E,Paka,0.92,36.18
0202-052,Africa-E,Silali,1.15,36.23
0202-051,Africa-E,Emuruangogolak,1.5,36.33
0202-021,Africa-E,Marsabit,2.32,37.97
0202-001,Africa-E,North Island,4.07,36.05
0202-17=,Africa-E,Kieyo,-9.23,33.78
0202-16=,Africa-E,Meru,-3.25,36.75
0202-15=,Africa-E,Kilimanjaro,-3.07,37.35
0202-13=,Africa-E,Chyulu Hills,-2.68,37.88
0202-12=,Africa-E,"Lengai, Ol Doinyo",-2.751,35.902
0202-11=,Africa-E,Suswa,-1.175,36.35
0202-10=,Africa-E,Longonot,-0.92,36.45
0202-09=,Africa-E,Olkaria,-0.904,36.292
0202-08=,Africa-E,"Eburru, Ol Doinyo",-0.63,36.23
0202-07=,Africa-E,Homa Mountain,-0.38,34.5
0202-06=,Africa-E,Menengai,-0.2,36.07
0202-05-,Africa-E,Segererua Plateau,1.57,37.9
0202-04-,Africa-E,Namarunu,1.9,36.27
0202-03=,Africa-E,"Barrier, The",2.32,36.57
0202-02=,Africa-E,South Island,2.63,36.6
0202-01=,Africa-E,Central Island,3.5,36.042
0201-311,Africa-NE,Unnamed,5.65,37.67
0201-293,Africa-NE,Hobicha Caldera,6.78,37.83
0201-292,Africa-NE,Tepi,7.42,35.43
0201-291,Africa-NE,Bilate River Field,7.07,38.1
0201-252,Africa-NE,Unnamed,7.95,38.93
0201-251,Africa-NE,Unnamed,8.07,39.07
0201-222,Africa-NE,Sodore,8.43,39.35
0201-221,Africa-NE,Unnamed,8.62,38.95
0201-201,Africa-NE,Unnamed,8.7,39.63
0201-191,Africa-NE,Beru,8.95,39.75
0201-172,Africa-NE,Liado Hayk Field,9.57,40.28
0201-171,Africa-NE,Hertali,9.78,40.33
0201-151,Africa-NE,Yangudi,10.58,41.042
0201-141,Africa-NE,Dama Ali,11.28,41.63
0201-126,Africa-NE,Ardoukoba,11.58,42.47
0201-125,Africa-NE,Assab Volc Field,12.95,42.43
0201-124,Africa-NE,Gufa,12.55,42.53
0201-123,Africa-NE,Mousa Alli,12.47,42.4
0201-122,Africa-NE,Manda-Inakir,12.38,42.2
0201-121,Africa-NE,Borawli Complex,11.63,41.45
0201-120,Ethiopia,Manda Gargori,11.75,41.483
0201-116,Africa-NE,Groppo,11.73,40.25
0201-115,Africa-NE,Manda Hararo,12.17,40.82
0201-114,Africa-NE,Dabbayra,12.38,40.07
0201-113,Africa-NE,Dabbahu,12.6,40.48
0201-112,Africa-NE,Alayta,12.88,40.57
0201-111,Africa-NE,Ma Alalta,13.02,40.2
0201-107,Africa-NE,Borawli,13.3,40.98
0201-106,Africa-NE,Tat Ali,13.28,41.07
0201-105,Africa-NE,Mat Ala,13.1,41.15
0201-104,Africa-NE,Asavyo,13.07,41.6
0201-103,Africa-NE,Sorkale,13.18,41.725
0201-102,Africa-NE,Mallahle,13.27,41.65
0201-101,Africa-NE,Nabro,13.37,41.7
0201-091,Africa-NE,Hayli Gubbi,13.5,40.72
0201-071,Africa-NE,Borale Ale,13.725,40.6
0201-041,Africa-NE,Dallol,14.242,40.3
0201-022,Red Sea,Hanish,13.72,42.73
0201-021,Red Sea,Zukur,14.02,42.75
0201-33-,Africa-E,Mega Basalt Field,4.08,37.42
0201-32-,Africa-NE,Korath Range,5.1,35.88
0201-31-,Africa-NE,Tosa Sucha,5.92,37.57
0201-30-,Africa-NE,Chiracha,6.65,38.12
0201-29-,Africa-NE,Corbetti Caldera,7.18,38.43
0201-28-,Africa-NE,Shala,7.47,38.55
0201-27-,Africa-NE,Alutu,7.77,38.78
0201-26-,Africa-NE,Butajiri-Silti Field,8.05,38.35
0201-25-,Africa-NE,Tullu Moje,8.158,39.13
0201-24-,Africa-NE,Bora-Bericcio Complex,8.27,39.03
0201-23-,Africa-NE,Gedamsa Caldera,8.35,39.18
0201-22-,Africa-NE,Bishoftu Volc Field,8.78,38.98
0201-21-,Africa-NE,Boset-Bericha,8.558,39.475
0201-20-,Africa-NE,Kone,8.8,39.692
0201-19=,Africa-NE,Fentale,8.975,39.93
0201-18=,Africa-NE,Dofen,9.35,40.13
0201-17=,Africa-NE,Adwa,10.07,40.84
0201-16=,Africa-NE,Ayelu,10.082,40.702
0201-15=,Africa-NE,Gabillema,11.08,41.27
0201-12=,Africa-NE,Kurub,11.88,41.208
0201-11=,Africa-NE,Afdera,13.08,40.85
0201-10=,Africa-NE,Dubbi,13.58,41.808
0201-09=,Africa-NE,Ale Bagu,13.52,40.63
0201-08=,Africa-NE,Erta Ale,13.6,40.67
0201-07=,Africa-NE,Dalaffilla,13.792,40.55
0201-06=,Africa-NE,Alu,13.82,40.55
0201-05=,Africa-NE,Gada Ale,13.975,40.408
0201-04=,Africa-NE,Alid,14.88,39.92
0201-03=,Africa-NE,Jalua,15.042,39.82
0201-02=,Red Sea,"Zubair, Jebel",15.05,42.18
0201-01=,Red Sea,"Tair, Jebel at",15.7,41.742
0104-10-,Armenia,Tskhouk-Karckar,39.733,46.017
0104-09-,Armenia,Porak,40.017,45.783
0104-08-,Armenia,Dar-Alages,39.7,45.542
0104-07-,Armenia,Agmagan-Karadag,40.275,44.75
0104-06-,Armenia,Aragats,40.55,44.12
0104-05-,Georgia,Unnamed,41.55,43.6
0104-04-,Georgia,Unnamed,42.45,44.25
0104-03-,Georgia,Kabargin Oth Group,42.55,44
0104-02-,Georgia,Kasbek,42.7,44.5
0104-01-,Russia-SW,Elbrus,43.33,42.45
0103-022,Turkey,Girekol,39.17,43.33
0103-021,Turkey,Suphan Dagi,38.92,42.82
0103-011,Turkey,Karacalidag,37.67,39.83
0103-004,Turkey,Acigol-Nevsehir,38.57,34.52
0103-003,Turkey,Gollu Dag,38.25,34.57
0103-002,Turkey,Hasan Dagi,38.13,34.17
0103-001,Turkey,Karapinar Field,37.67,33.65
0103-05-,Turkey,Kars Plateau,40.75,42.9
0103-04-,Turkey,Ararat,39.7,44.28
0103-03=,Turkey,Tenduruk Dagi,39.33,43.83
0103-02=,Turkey,Nemrut Dagi,38.65,42.02
0103-01=,Turkey,Erciyes Dagi,38.52,35.48
0103-00-,Turkey,Kula,38.58,28.52
0102-051,Greece,Yali,36.63,27.1
0102-05=,Greece,Nisyros,36.58,27.18
0102-04=,Greece,Santorini,36.404,25.396
0102-03=,Greece,Milos,36.699,24.439
0102-02=,Greece,Methana,37.615,23.336
0101-071,Italy,Pantelleria,36.77,12.02
0101-042,Italy,Lipari,38.483,14.95
0101-041,Italy,Lipari,38.48,14.95
0101-031,Italy,Palinuro,39.483,14.833
0101-004,Italy,"Albano, Monte",41.73,12.7
0101-003,Italy,Vulsini,42.6,11.93
0101-001,Italy,Larderello,43.25,10.87
0101-07=,Italy,Campi Flegrei Mar Sicilia,37.1,12.7
0101-06=,Italy,Etna,37.734,15.004
0101-05=,Italy,Vulcano,38.404,14.962
0101-04=,Italy,Stromboli,38.789,15.213
0101-03=,Italy,Ischia,40.73,13.897
0101-02=,Italy,Vesuvius,40.821,14.426
0101-01=,Italy,Campi Flegrei,40.827,14.139
0100-04-,Spain,Calatrava Volc Field,38.867,-4.017
0100-03-,Spain,Olot Volc Field,42.17,2.53
0100-02-,France,Chaine des Puys,45.775,2.967
0100-01-,Germany,West Eifel Volc Field,50.17,6.85
