name;slug;value;date_of_information;ranking;region
"United States";"united-states";"13,513";"2022";1;"North America"
"Brazil";"brazil";"4,093";"2021";2;"South America"
"Mexico";"mexico";"1,714";"2021";3;"North America"
"Canada";"canada";"1,467";"2021";4;"North America"
"Russia";"russia";"1,218";"2021";5;"Central Asia"
"Argentina";"argentina";"916";"2021";6;"South America"
"Bolivia";"bolivia";"855";"2021";7;"South America"
"Colombia";"colombia";"836";"2021";8;"South America"
"Paraguay";"paraguay";"799";"2021";9;"South America"
"Indonesia";"indonesia";"673";"2021";10;"East and Southeast Asia"
"Papua New Guinea";"papua-new-guinea";"561";"2021";11;"East and Southeast Asia"
"Germany";"germany";"539";"2021";12;"Europe"
"China";"china";"507";"2021";13;"East and Southeast Asia"
"Chile";"chile";"481";"2021";14;"South America"
"France";"france";"464";"2021";15;"Europe"
"United Kingdom";"united-kingdom";"460";"2021";16;"Europe"
"Venezuela";"venezuela";"444";"2021";17;"South America"
"Ecuador";"ecuador";"432";"2021";18;"South America"
"Australia";"australia";"418";"2021";19;"Australia and Oceania"
"South Africa";"south-africa";"407";"2021";20;"Africa"
"India";"india";"346";"2021";21;"South Asia"
"Iran";"iran";"319";"2021";22;"Middle East"
"Guatemala";"guatemala";"291";"2021";23;"Central America and the Caribbean"
"Philippines";"philippines";"247";"2021";24;"East and Southeast Asia"
"Sweden";"sweden";"231";"2021";25;"Europe"
"Ukraine";"ukraine";"215";"2021";26;"Europe"
"Saudi Arabia";"saudi-arabia";"214";"2021";27;"Middle East"
"Congo, Democratic Republic of the";"congo-democratic-republic-of-the";"198";"2021";28;"Africa"
"Kenya";"kenya";"197";"2021";29;"Africa"
"Zimbabwe";"zimbabwe";"196";"2021";30;"Africa"
"Peru";"peru";"191";"2021";31;"South America"
"Japan";"japan";"175";"2021";32;"East and Southeast Asia"
"Tanzania";"tanzania";"166";"2021";33;"Africa"
"Costa Rica";"costa-rica";"161";"2021";34;"Central America and the Caribbean"
"Pakistan";"pakistan";"151";"2021";35;"South Asia"
"Algeria";"algeria";"149";"2021";36;"Africa"
"Finland";"finland";"148";"2021";37;"Europe"
"Nicaragua";"nicaragua";"147";"2021";38;"Central America and the Caribbean"
"Libya";"libya";"146";"2021";39;"Africa"
"Spain";"spain";"135";"2021";40;"Europe"
"Cuba";"cuba";"133";"2021";41;"Central America and the Caribbean"
"Uruguay";"uruguay";"133";"2021";42;"South America"
"Oman";"oman";"132";"2021";43;"Middle East"
"Italy";"italy";"129";"2021";44;"Europe"
"Czechia";"czechia";"128";"2021";45;"Europe"
"Poland";"poland";"126";"2021";46;"Europe"
"New Zealand";"new-zealand";"123";"2021";47;"Australia and Oceania"
"Guyana";"guyana";"117";"2021";48;"South America"
"Panama";"panama";"117";"2021";49;"Central America and the Caribbean"
"Malaysia";"malaysia";"114";"2021";50;"East and Southeast Asia"
"Namibia";"namibia";"112";"2021";51;"Africa"
"Korea, South";"korea-south";"111";"2021";52;"East and Southeast Asia"
"Honduras";"honduras";"103";"2021";53;"Central America and the Caribbean"
"Angola";"angola";"102";"2021";54;"Africa"
"Iraq";"iraq";"102";"2021";55;"Middle East"
"Thailand";"thailand";"101";"2021";56;"East and Southeast Asia"
"Turkey (Turkiye)";"turkey-turkiye";"98";"2021";57;"Middle East"
"Mozambique";"mozambique";"98";"2021";58;"Africa"
"Kazakhstan";"kazakhstan";"96";"2021";59;"Central Asia"
"Iceland";"iceland";"96";"2021";60;"Europe"
"Norway";"norway";"95";"2021";61;"Europe"
"Syria";"syria";"90";"2021";62;"Middle East"
"South Sudan";"south-sudan";"89";"2021";63;"Africa"
"Zambia";"zambia";"88";"2021";64;"Africa"
"Egypt";"egypt";"83";"2021";65;"Africa"
"Madagascar";"madagascar";"83";"2021";66;"Africa"
"Korea, North";"korea-north";"82";"2021";67;"East and Southeast Asia"
"Denmark";"denmark";"80";"2021";68;"Europe"
"Greece";"greece";"77";"2021";69;"Europe"
"Botswana";"botswana";"74";"2021";70;"Africa"
"Croatia";"croatia";"69";"2021";71;"Europe"
"Bulgaria";"bulgaria";"68";"2021";72;"Europe"
"El Salvador";"el-salvador";"68";"2021";73;"Central America and the Caribbean"
"Sudan";"sudan";"67";"2021";74;"Africa"
"Belarus";"belarus";"65";"2021";75;"Europe"
"Portugal";"portugal";"64";"2021";76;"Europe"
"Burma";"burma";"64";"2021";77;"East and Southeast Asia"
"Switzerland";"switzerland";"63";"2021";78;"Europe"
"Morocco";"morocco";"62";"2021";79;"Africa"
"Lithuania";"lithuania";"61";"2021";80;"Europe"
"Chad";"chad";"59";"2021";81;"Africa"
"Yemen";"yemen";"57";"2021";82;"Middle East"
"Ethiopia";"ethiopia";"57";"2021";83;"Africa"
"Suriname";"suriname";"55";"2021";84;"South America"
"French Polynesia";"french-polynesia";"54";"2021";85;"Australia and Oceania"
"Nigeria";"nigeria";"54";"2021";86;"Africa"
"Bahamas, The";"bahamas-the";"54";"2021";87;"Central America and the Caribbean"
"Uzbekistan";"uzbekistan";"53";"2021";88;"Central Asia"
"Somalia";"somalia";"52";"2021";89;"Africa"
"Austria";"austria";"50";"2021";90;"Europe"
"Belize";"belize";"47";"2021";91;"Central America and the Caribbean"
"Uganda";"uganda";"47";"2021";92;"Africa"
"Nepal";"nepal";"47";"2021";93;"South Asia"
"Afghanistan";"afghanistan";"46";"2021";94;"South Asia"
"Romania";"romania";"45";"2021";95;"Europe"
"Vietnam";"vietnam";"45";"2021";96;"East and Southeast Asia"
"Gabon";"gabon";"44";"2021";97;"Africa"
"Mongolia";"mongolia";"44";"2021";98;"East and Southeast Asia"
"United Arab Emirates";"united-arab-emirates";"43";"2021";99;"Middle East"
"Latvia";"latvia";"42";"2021";100;"Europe"
"Israel";"israel";"42";"2021";101;"Middle East"
"Hungary";"hungary";"41";"2021";102;"Europe"
"Belgium";"belgium";"41";"2021";103;"Europe"
"Laos";"laos";"41";"2021";104;"East and Southeast Asia"
"Ireland";"ireland";"40";"2021";105;"Europe"
"Central African Republic";"central-african-republic";"39";"2021";106;"Africa"
"Taiwan";"taiwan";"37";"2021";107;"East and Southeast Asia"
"Solomon Islands";"solomon-islands";"36";"2021";108;"Australia and Oceania"
"Dominican Republic";"dominican-republic";"36";"2021";109;"Central America and the Caribbean"
"Slovakia";"slovakia";"35";"2021";110;"Europe"
"Cameroon";"cameroon";"33";"2021";111;"Africa"
"Malawi";"malawi";"32";"2021";112;"Africa"
"Vanuatu";"vanuatu";"31";"2021";113;"Australia and Oceania"
"Niger";"niger";"30";"2021";114;"Africa"
"Mauritania";"mauritania";"30";"2021";115;"Africa"
"Liberia";"liberia";"29";"2021";116;"Africa"
"Puerto Rico";"puerto-rico";"29";"2021";117;"Central America and the Caribbean"
"Netherlands";"netherlands";"29";"2021";118;"Europe"
"Tunisia";"tunisia";"29";"2021";119;"Africa"
"Kyrgyzstan";"kyrgyzstan";"28";"2021";120;"Central Asia"
"Jamaica";"jamaica";"28";"2021";121;"Central America and the Caribbean"
"Fiji";"fiji";"28";"2021";122;"Australia and Oceania"
"Cote d'Ivoire";"cote-divoire";"27";"2021";123;"Africa"
"Congo, Republic of the";"congo-republic-of-the";"27";"2021";124;"Africa"
"Turkmenistan";"turkmenistan";"26";"2021";125;"Central Asia"
"Serbia";"serbia";"26";"2021";126;"Europe"
"Mali";"mali";"25";"2021";127;"Africa"
"New Caledonia";"new-caledonia";"25";"2021";128;"Australia and Oceania"
"Tajikistan";"tajikistan";"24";"2021";129;"Central Asia"
"Bosnia and Herzegovina";"bosnia-and-herzegovina";"24";"2021";130;"Europe"
"Lesotho";"lesotho";"24";"2021";131;"Africa"
"Azerbaijan";"azerbaijan";"23";"2021";132;"Middle East"
"Burkina Faso";"burkina-faso";"23";"2021";133;"Africa"
"Georgia";"georgia";"22";"2021";134;"Middle East"
"Senegal";"senegal";"20";"2021";135;"Africa"
"Kiribati";"kiribati";"19";"2021";136;"Australia and Oceania"
"Bangladesh";"bangladesh";"18";"2021";137;"South Asia"
"Jordan";"jordan";"18";"2021";138;"Middle East"
"Sri Lanka";"sri-lanka";"18";"2021";139;"South Asia"
"Estonia";"estonia";"18";"2021";140;"Europe"
"Antarctica";"antarctica";"17";"2021";141;"Antarctica"
"Cambodia";"cambodia";"16";"2021";142;"East and Southeast Asia"
"Guinea";"guinea";"16";"2021";143;"Africa"
"Slovenia";"slovenia";"16";"2021";144;"Europe"
"Cyprus";"cyprus";"15";"2021";145;"Europe"
"Greenland";"greenland";"15";"2021";146;"North America"
"Marshall Islands";"marshall-islands";"15";"2021";147;"Australia and Oceania"
"Eswatini";"eswatini";"14";"2021";148;"Africa"
"Haiti";"haiti";"14";"2021";149;"Central America and the Caribbean"
"Seychelles";"seychelles";"14";"2021";150;"Africa"
"Djibouti";"djibouti";"13";"2021";151;"Africa"
"Eritrea";"eritrea";"13";"2021";152;"Africa"
"Cook Islands";"cook-islands";"11";"2021";153;"Australia and Oceania"
"North Macedonia";"north-macedonia";"10";"2021";154;"Europe"
"Ghana";"ghana";"10";"2021";155;"Africa"
"Cabo Verde";"cabo-verde";"9";"2021";156;"Africa"
"Maldives";"maldives";"9";"2021";157;"South Asia"
"Singapore";"singapore";"9";"2021";158;"East and Southeast Asia"
"Sierra Leone";"sierra-leone";"8";"2021";159;"Africa"
"Lebanon";"lebanon";"8";"2021";160;"Middle East"
"Guinea-Bissau";"guinea-bissau";"8";"2021";161;"Africa"
"Turks and Caicos Islands";"turks-and-caicos-islands";"8";"2021";162;"Central America and the Caribbean"
"Spratly Islands";"spratly-islands";"8";"2021";163;"East and Southeast Asia"
"Togo";"togo";"8";"2021";164;"Africa"
"Burundi";"burundi";"7";"2021";165;"Africa"
"Armenia";"armenia";"7";"2021";166;"Middle East"
"Rwanda";"rwanda";"7";"2021";167;"Africa"
"Moldova";"moldova";"7";"2021";168;"Europe"
"Kuwait";"kuwait";"7";"2021";169;"Middle East"
"Equatorial Guinea";"equatorial-guinea";"7";"2021";170;"Africa"
"Falkland Islands (Islas Malvinas)";"falkland-islands-islas-malvinas";"7";"2021";171;"South America"
"Kosovo";"kosovo";"6";"2021";172;"Europe"
"Qatar";"qatar";"6";"2021";173;"Middle East"
"Micronesia, Federated States of";"micronesia-federated-states-of";"6";"2021";174;"Australia and Oceania"
"Saint Vincent and the Grenadines";"saint-vincent-and-the-grenadines";"6";"2021";175;"Central America and the Caribbean"
"Benin";"benin";"6";"2021";176;"Africa"
"Tonga";"tonga";"6";"2021";177;"Australia and Oceania"
"Timor-Leste";"timor-leste";"6";"2021";178;"East and Southeast Asia"
"Guam";"guam";"5";"2021";179;"Australia and Oceania"
"Northern Mariana Islands";"northern-mariana-islands";"5";"2021";180;"Australia and Oceania"
"Mauritius";"mauritius";"5";"2021";181;"Africa"
"Montenegro";"montenegro";"5";"2021";182;"Europe"
"Samoa";"samoa";"4";"2021";183;"Australia and Oceania"
"Bahrain";"bahrain";"4";"2021";184;"Middle East"
"Comoros";"comoros";"4";"2021";185;"Africa"
"French Southern and Antarctic Lands";"french-southern-and-antarctic-lands";"4";"2021";186;"Antarctica"
"Trinidad and Tobago";"trinidad-and-tobago";"4";"2021";187;"Central America and the Caribbean"
"Svalbard";"svalbard";"4";"2021";188;"Europe"
"British Virgin Islands";"british-virgin-islands";"4";"2021";189;"Central America and the Caribbean"
"Albania";"albania";"3";"2021";190;"Europe"
"Bhutan";"bhutan";"3";"2021";191;"South Asia"
"Antigua and Barbuda";"antigua-and-barbuda";"3";"2021";192;"Central America and the Caribbean"
"Cayman Islands";"cayman-islands";"3";"2021";193;"Central America and the Caribbean"
"Palau";"palau";"3";"2021";194;"Australia and Oceania"
"Grenada";"grenada";"3";"2021";195;"Central America and the Caribbean"
"American Samoa";"american-samoa";"3";"2021";196;"Australia and Oceania"
"Saint Helena, Ascension, and Tristan da Cunha";"saint-helena-ascension-and-tristan-da-cunha";"2";"2021";197;"Africa"
"West Bank";"west-bank";"2";"2021";198;"Middle East"
"Wallis and Futuna";"wallis-and-futuna";"2";"2021";199;"Australia and Oceania"
"Sao Tome and Principe";"sao-tome-and-principe";"2";"2021";200;"Africa"
"Dominica";"dominica";"2";"2021";201;"Central America and the Caribbean"
"Saint Pierre and Miquelon";"saint-pierre-and-miquelon";"2";"2021";202;"North America"
"Saint Lucia";"saint-lucia";"2";"2021";203;"Central America and the Caribbean"
"Saint Kitts and Nevis";"saint-kitts-and-nevis";"2";"2021";204;"Central America and the Caribbean"
"Guernsey";"guernsey";"2";"2021";205;"Europe"
"Luxembourg";"luxembourg";"2";"2021";206;"Europe"
"Virgin Islands";"virgin-islands";"2";"2021";207;"Central America and the Caribbean"
"Hong Kong";"hong-kong";"2";"2021";208;"East and Southeast Asia"
"Macau";"macau";"1";"2021";209;"East and Southeast Asia"
"Jan Mayen";"jan-mayen";"1";"2021";210;"Europe"
"Barbados";"barbados";"1";"2021";211;"Central America and the Caribbean"
"Saint Barthelemy";"saint-barthelemy";"1";"2021";212;"Central America and the Caribbean"
"Tuvalu";"tuvalu";"1";"2021";213;"Australia and Oceania"
"Norfolk Island";"norfolk-island";"1";"2021";214;"Australia and Oceania"
"Gibraltar";"gibraltar";"1";"2021";215;"Europe"
"Brunei";"brunei";"1";"2021";216;"East and Southeast Asia"
"Isle of Man";"isle-of-man";"1";"2021";217;"Europe"
"Montserrat";"montserrat";"1";"2021";218;"Central America and the Caribbean"
"Cocos (Keeling) Islands";"cocos-keeling-islands";"1";"2021";219;"Australia and Oceania"
"Paracel Islands";"paracel-islands";"1";"2021";220;"East and Southeast Asia"
"Malta";"malta";"1";"2021";221;"Europe"
"Aruba";"aruba";"1";"2021";222;"Central America and the Caribbean"
"Curacao";"curacao";"1";"2021";223;"Central America and the Caribbean"
"Akrotiri";"akrotiri";"1";"2021";224;"Europe"
"Gambia, The";"gambia-the";"1";"2021";225;"Africa"
"Niue";"niue";"1";"2021";226;"Australia and Oceania"
"Anguilla";"anguilla";"1";"2021";227;"Central America and the Caribbean"
"Wake Island";"wake-island";"1";"2021";228;"Australia and Oceania"
"Nauru";"nauru";"1";"2021";229;"Australia and Oceania"
"British Indian Ocean Territory";"british-indian-ocean-territory";"1";"2021";230;"South Asia"
"Gaza Strip";"gaza-strip";"1";"2021";231;"Middle East"
"Faroe Islands";"faroe-islands";"1";"2021";232;"Europe"
"Christmas Island";"christmas-island";"1";"2021";233;"Australia and Oceania"
"Saint Martin";"saint-martin";"1";"2021";234;"Central America and the Caribbean"
"Bermuda";"bermuda";"1";"2021";235;"North America"
"Sint Maarten";"sint-maarten";"1";"2021";236;"Central America and the Caribbean"
"Jersey";"jersey";"1";"2021";237;"Europe"